document_id,maximal_passages,unique_words
GHD-02507,1,15
10.1016/s2666-7568(21)00031-3,1,15
GHD-04666,1,15
GHD-03919,1,15
10.4103/jfmpc.jfmpc_2253_20,1,15
10.18356/9789210059060,1,15
GHD-03979,1,15
CR-10.17506/18179568_2025_22_3_99,1,14
CR-10.53300/001c.137839,1,14
GHD-00836,1,14
EP-33424219,1,14
CR-10.1057/s41311-021-00343-y,1,13
GHD-04658,1,13
CR-10.1016/s0140-6736(26)01153-0,1,13
GHD-03953,1,13
GHD-02883,1,13
GHD-00937,1,13
CR-10.67171/pe1gae27,1,12
GHD-00101,1,12
GHD-02143,1,12
GHD-05152,1,12
GHD-01060,1,12
GHD-00290,1,12
GHD-00800,1,12
GHD-00781,1,12
EP-PPR342044,1,11
GHD-00030,1,11
GHD-00827,1,11
GHD-02734,1,11
CR-10.21810/jicw.v6i2.6253,1,11
GHD-02084,1,11
GHD-05163,1,10
GHD-01087,1,10
GHD-05013,1,10
GHD-00754,1,10
EP-38626321,1,9
GHD-02884,1,9
GHD-01095,1,9
CR-10.2139/ssrn.6680178,1,8
CR-10.1093/oxfordhb/9780197673546.013.15,1,8
CR-10.2307/2010291,1,8
GHD-01261,1,8
GHD-01036,1,8
GHD-01088,1,8
CR-10.1111/1758-5899.70100,1,7
CR-10.4324/9781003508526-15,1,6
GHD-00596,1,5
GHD-01131,1,4
EP-41026749,1,4
